# SPT ID	RA	DEC	S/N (2.0mm)	S_raw (2.0mm) [mJy]	S_best (2.0mm) [mJy]	dS_up (2.0mm) [mJy]	dS_down (2.0mm) [mJy]	S/N (1.4mm)	S_raw (1.4mm) [mJy]	S_best (1.4mm) [mJy]	dS_up (1.4mm) [mJy]	dS_down (1.4mm) [mJy]	alpha_raw	alpha_best	d_alpha_up	d_alpha_down	P(alpha>1)	Type	dR_SUMSS [arcsec]	dR_RASS [arcsec]	dR_IRAS [arcsec]
SPT-S_J050248-5901.3	  75.703	 -59.022	   3.09	   3.74	   0.43	   0.71	   0.25	   1.93	   6.18	   0.90	   2.33	   0.70	   1.4	   2.0	   2.2	   3.1	   0.53	dust	 234	 733	 834
SPT-S_J050250-5335.2	  75.711	 -53.587	   3.31	   4.16	   0.40	   0.67	   0.23	   1.50	   5.01	   0.75	   1.88	   0.56	   0.5	   1.5	   2.5	   2.9	   0.48	sync	 289	1192	1473
SPT-S_J050252-5251.6	  75.717	 -52.861	   0.34	   0.42	   0.46	   0.66	   0.30	   3.38	  11.31	   0.73	   0.91	   0.40	   8.9	   1.7	   2.2	   2.7	   0.51	dust	 231	 439	1067
SPT-S_J050253-5059.8	  75.724	 -50.997	   3.54	   4.64	   0.30	   0.39	   0.17	   0.00	  -2.37	   0.40	   0.81	   0.27	   NaN	   0.4	   2.8	   2.3	   0.34	sync	 525	1042	 691
SPT-S_J050254-5225.9	  75.728	 -52.432	   3.59	   4.51	   0.28	   0.36	   0.15	   0.00	  -6.01	   0.33	   0.62	   0.22	   NaN	   0.0	   2.8	   2.1	   0.29	sync	 247	1089	1797
SPT-S_J050256-5801.4	  75.734	 -58.025	   3.31	   4.01	   0.35	   0.48	   0.20	   0.75	   2.40	   0.55	   1.24	   0.39	  -1.4	   1.0	   2.7	   2.7	   0.42	sync	 378	 196	 832
SPT-S_J050256-5956.0	  75.735	 -59.934	   0.00	  -0.50	   0.37	   0.52	   0.24	   3.94	  12.61	   0.70	   0.95	   0.38	   NaN	   2.3	   1.9	   2.7	   0.60	dust	  89	1066	 709
SPT-S_J050258-5738.6	  75.745	 -57.644	   3.14	   3.80	   0.28	   0.33	   0.15	   0.00	  -2.40	   0.36	   0.69	   0.24	   NaN	   0.4	   2.8	   2.4	   0.34	sync	 305	1042	 321
SPT-S_J050300-5525.1	  75.752	 -55.420	   3.06	   3.84	   0.35	   0.49	   0.19	   1.35	   4.51	   0.62	   1.50	   0.46	   0.4	   1.5	   2.5	   2.9	   0.47	sync	 436	 327	 900
SPT-S_J050304-5441.5	  75.767	 -54.692	   1.56	   1.96	   0.84	   1.14	   0.60	   3.07	  10.27	   0.93	   1.06	   0.52	   4.5	   0.5	   2.8	   2.3	   0.34	sync	 618	 804	 892
SPT-S_J050304-5718.5	  75.768	 -57.310	   0.85	   1.07	   0.56	   0.84	   0.39	   3.26	  10.90	   0.81	   0.96	   0.45	   6.3	   1.3	   2.5	   2.6	   0.45	sync	 191	 614	 776
SPT-S_J050305-5054.2	  75.771	 -50.904	   3.06	   4.02	   0.29	   0.34	   0.15	   0.00	  -0.25	   0.40	   0.84	   0.28	   NaN	   0.7	   2.8	   2.5	   0.38	sync	 190	 912	 941
SPT-S_J050306-5824.2	  75.779	 -58.405	   3.08	   3.73	   0.28	   0.33	   0.14	   0.00	  -2.10	   0.37	   0.70	   0.24	   NaN	   0.5	   2.8	   2.4	   0.34	sync	 387	1176	 783
SPT-S_J050306-5304.8	  75.779	 -53.080	   0.97	   1.21	   0.58	   0.87	   0.40	   3.02	  10.11	   0.79	   0.93	   0.44	   5.8	   1.1	   2.6	   2.6	   0.43	sync	 220	 741	1087
SPT-S_J050307-5434.5	  75.781	 -54.575	   3.07	   3.86	   0.35	   0.49	   0.20	   1.32	   4.42	   0.62	   1.48	   0.46	   0.4	   1.5	   2.5	   2.9	   0.47	sync	 398	 667	1169
SPT-S_J050310-5804.4	  75.795	 -58.074	   3.19	   3.86	   0.51	   1.01	   0.32	   2.19	   7.01	   1.18	   3.06	   0.93	   1.6	   2.2	   2.1	   3.1	   0.57	dust	 199	 243	 836
SPT-S_J050315-5341.1	  75.814	 -53.685	   1.07	   1.35	   0.64	   0.96	   0.44	   3.47	  11.62	   0.88	   1.07	   0.50	   5.9	   1.1	   2.6	   2.6	   0.43	sync	 100	1410	1268
